Almond Butter,Bread Roll,Bread Sticks,Brown Bread,Brown Eggs,Bruschetta,Bun,Butter,Cage Free Eggs,Cereal,Cereal Drink,Chapati,Cheese,Cheese Block,Cheese Cubes,Cheese Slices,Cheesy Triangle,Chocos,Coconut Milk,Coffee Creamer,Condensed Milk,Corn Flakes,Cream Cheese,Croissant,Curd,Dairy Whitener,Diced Cheese,Eggs,Fat Spread,Flakes,Flavoured Yogurt,Focaccia,Free Range Eggs,Fresh Cream,Fresh Milk,Frozen Yogurt,Fruit Bread,Garlic Bread,Granola,Greek Yogurt,Health Drink,Kadaknath Eggs,Khoya,Kulcha,Loaf,Milk,Milk Bread,Milk Powder,Mishti Doi,Muesli,Multigrain Bread,Non-Dairy Drink,Oat Flour,Oats,Oats Flour,Paneer,Parantha,Pav,Pizza Base,Porridge,Protein Rich Eggs,Pullet Eggs,Quinoa,Regular Vermicelli,Roasted Vermicelli,Salted Butter,Shrikhand,Sourdough,Soy Milk,Speciality Eggs,Tofu,Unsalted Butter,Vermicelli,Wheat Bread,Wheat Flakes,White Bread,White Eggs,Yogurt Drink
51,129,43,3071,379,0,753,551,0,2188,12,33,180,482,460,1764,11,538,3,0,133,2899,27,2,7850,315,289,268,179,191,1305,1,29,280,9457,32,110,255,29,796,891,0,14,113,34,3391,510,0,770,2521,1308,0,6,0,68,4204,189,420,77,18,135,74,70,809,1678,4367,51,1,0,232,1091,178,76,3619,168,1989,3177,104
0,0,2,16,5,0,11,3,0,15,0,1,5,5,6,24,0,1,0,0,2,7,0,0,87,2,6,2,1,2,7,0,0,4,60,0,0,2,1,7,7,0,0,2,0,45,1,0,8,20,19,0,0,68,0,62,0,3,2,0,1,0,0,7,13,31,2,0,0,8,11,3,2,45,9,9,21,1
105,1058,263,22301,2873,0,6453,3350,33,2515,42,308,1447,3156,2966,11699,120,815,21,0,1028,1970,108,5,112795,875,2182,1631,675,171,7356,6,189,6488,93849,149,899,2335,41,4257,5200,3,313,1798,537,27569,5856,0,7243,1956,10730,0,2,4204,62,0,2121,4469,1222,7,897,312,52,1338,2602,26403,601,6,0,2390,7729,1245,160,34759,142,20059,25146,591
6,407,40,774,202,0,514,180,1,179,0,243,91,134,105,437,10,61,0,0,85,114,15,1,3488,60,75,39,32,8,479,1,30,218,3257,4,245,233,2,181,248,0,16,157,25,1709,442,0,366,122,431,0,0,189,0,2121,0,388,79,4,25,2,2,62,70,1161,63,0,0,273,164,56,7,1361,11,1015,1578,16
11,761,52,2281,314,0,3159,819,2,371,7,95,180,467,366,1368,25,95,0,0,133,265,16,0,7492,106,382,163,324,30,908,0,21,337,10059,19,251,839,3,367,618,0,22,670,77,2593,860,0,712,168,920,0,0,420,3,4469,388,0,351,2,84,46,0,130,293,8875,56,3,0,314,429,317,13,3815,14,3679,2641,54
2,122,8,384,46,0,751,154,1,109,0,14,776,2638,434,685,13,44,0,0,39,55,11,0,1188,19,2581,21,39,10,161,0,5,112,1429,7,39,330,0,50,96,0,6,173,16,328,154,0,107,32,130,0,0,77,2,1222,79,351,0,0,14,8,0,33,69,763,14,0,0,32,144,30,2,629,2,772,337,13
2,1,0,7,0,0,0,2,0,10,0,0,1,3,0,5,0,3,0,0,0,12,0,0,20,0,0,0,1,2,7,0,0,2,39,0,1,0,1,5,1,0,0,1,0,16,4,0,2,17,1,0,1,18,0,7,4,2,0,0,0,0,0,4,3,7,0,0,0,0,1,0,0,13,3,4,15,0
6,0,15,739,169,0,174,90,3,74,2,9,35,40,55,316,6,30,0,0,18,56,9,0,1675,25,44,36,13,3,158,1,1,56,1709,6,7,82,3,182,204,1,3,36,50,648,258,0,127,71,521,0,0,135,1,897,25,84,14,0,0,13,3,15,60,769,6,0,0,73,137,40,2,1331,3,649,270,24
2,0,2,370,27,0,96,44,1,32,0,9,11,18,10,108,1,5,0,0,5,29,4,0,699,9,9,13,20,5,48,0,0,25,869,5,0,35,0,29,41,1,0,12,10,260,106,0,60,23,153,0,0,74,0,312,2,46,8,0,13,0,0,5,26,319,3,0,0,5,58,11,0,489,2,392,63,9
1,1,0,14,6,0,4,2,0,6,0,0,5,3,1,13,0,1,0,0,0,6,0,0,77,0,4,6,1,2,11,0,2,2,45,0,1,2,2,19,10,0,0,0,0,29,3,0,2,22,9,0,0,70,0,52,2,0,0,0,3,0,0,5,9,23,0,0,0,1,26,0,2,29,1,11,27,1
6,78,8,597,68,1,196,139,0,358,0,8,34,158,158,559,4,103,0,0,135,375,2,0,2087,66,103,30,63,25,222,0,4,97,2556,3,61,58,5,83,168,0,13,39,12,657,184,0,151,229,207,0,1,809,7,1338,62,130,33,4,15,5,5,0,417,1326,20,0,0,48,129,54,42,791,15,647,640,13
20,70,17,1367,135,0,489,334,2,788,3,10,75,260,257,1176,6,244,6,0,263,695,3,0,4529,129,250,87,93,56,495,0,10,196,5324,12,69,135,5,201,471,0,28,93,34,1147,375,0,357,525,547,0,0,1678,13,2602,70,293,69,3,60,26,9,417,0,2993,29,0,0,96,281,93,35,2105,47,1330,1288,26
294,742,225,24495,2470,0,7455,7971,21,3454,21,179,1681,5754,6300,20118,213,1210,15,0,1431,2572,263,4,50124,1063,3198,1579,705,195,4343,4,138,5178,62804,92,1175,2846,42,2201,3745,7,122,1355,774,18635,8823,0,3995,1936,8347,0,1,4367,31,26403,1161,8875,763,7,769,319,23,1326,2993,0,372,6,0,1953,2092,1975,151,33811,134,35175,20018,374
3,101,15,170,33,0,54,46,0,66,0,3,26,54,63,155,5,31,0,0,35,34,2,1,1746,17,16,3,17,4,658,0,7,38,1017,7,69,38,2,209,96,0,6,15,6,417,58,0,608,36,76,0,0,51,2,601,63,56,14,0,6,3,0,20,29,372,0,0,0,40,52,16,10,282,3,248,209,31
