Bathroom Cleaner,Bathroom Wiper,Bottle Brush,Broom,Cleaner,Cleaner Wipes,Combo,Detergent Bar,Detergent Pods,Detergent Powder,Dishwash Bar,Dishwash Gel,Dishwash Paste,Dishwash Powder,Dishwash Salt,Dishwash Tablet,Dishwashing Tub,Disinfectant,Disinfectant Spray,Drain Cleaner,Dustbin,Duster,Dustpan,Dustpan & Brush,Fabric Conditioner,Floor Cleaner,Floor Cloth,Fruit & Vegetable Wash,Glass Cleaner,Hand Gloves,Herbal Floor Cleaner,Keyboard Brush,Kitchen Brush,Kitchen Cleaner,Kitchen Wiper,Laundry Disinfectant,Liquid Detergent,Liquid Fabric Stiffener,Liquid Fabric Whitener,Liquid Shoe Polish,Matic Detergent Powder,Matic Liquid Detergent,Microfiber Cloth,Mop,Mop Refill,Multi Purpose Cleaner,Phenyl,Plunger,Powdered Fabric Stiffener,Rod,Sanitizer,Scrub,Scrub Pad,Scrubber,Shoe Brush,Shoe Polish,Sink Brush,Soap Dispenser,Soap Dispenser Pump,Spin Mop,Sponge,Sponge Cloth,Sponge Scrub,Sponge Wipe,Spray,Stain Remover,Steel Scrubber,Surface Cleaner,Tile Brush,Toilet Brush,Toilet Cleaner,Toilet Cleaner Block,Urinal Cubes,Wiper,Wipes,Woollen Liquid Detergent
43,0,6,332,0,0,24,38,0,109,77,115,0,0,0,0,35,11,19,18,0,47,252,0,27,159,98,0,42,0,6,0,0,24,35,0,20,0,5,0,28,40,2,60,2,5,41,6,0,0,3,5,91,1,2,1,48,2,13,27,4,1,38,32,4,7,63,0,4,133,193,56,0,208,13,1
104,0,41,480,0,0,47,94,1,261,235,279,0,2,0,2,55,37,27,47,47,0,177,0,66,332,206,3,262,0,19,0,2,63,76,0,45,6,37,1,106,115,29,67,22,15,134,11,2,1,6,17,184,3,7,1,82,2,22,52,19,0,76,121,32,36,158,1,17,174,414,74,1,276,40,16
205,0,24,2002,0,0,88,157,1,410,371,560,0,1,0,0,129,50,56,56,252,177,0,0,65,870,506,1,295,0,11,0,1,83,142,1,57,3,27,0,105,167,18,184,13,24,218,15,1,1,14,30,435,9,9,5,139,0,15,107,15,1,165,209,21,34,398,1,15,600,928,148,0,813,30,19
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1268,0,48,384,0,0,226,1698,20,5053,3166,3603,0,11,2,11,723,459,194,280,27,66,65,0,0,3283,111,9,971,0,99,0,1,268,44,6,1361,204,953,4,2781,4770,13,30,15,54,969,14,61,0,34,87,835,5,21,14,76,4,15,19,66,0,298,349,57,1678,874,3,6,151,3704,508,8,156,110,495
5532,2,116,3046,0,0,648,6186,22,17144,16162,14060,0,14,4,22,2572,1027,695,1058,159,332,870,0,3283,0,1238,33,6602,0,151,0,4,1228,217,8,1963,188,1329,10,5103,5639,60,338,70,378,3649,39,47,4,94,301,4220,48,81,49,326,3,61,162,197,2,1330,1229,359,1291,3947,12,52,1089,24090,1849,25,1172,305,769
199,0,38,1392,0,0,105,184,0,540,510,644,0,3,0,1,134,68,77,72,98,206,506,0,111,1238,0,1,417,0,25,0,2,119,105,1,91,8,43,0,146,199,50,69,11,36,373,12,1,0,12,32,550,7,5,2,110,3,15,44,11,2,228,335,39,44,438,3,25,354,938,146,1,633,82,19
7,0,0,1,0,0,3,8,0,21,33,33,0,0,0,1,11,13,12,7,0,3,1,0,9,33,1,0,14,0,2,0,0,4,1,2,9,0,8,0,17,17,0,0,0,2,6,0,0,0,0,0,9,0,1,0,1,0,0,0,0,0,7,5,1,6,7,0,1,2,32,4,0,1,8,3
1894,0,66,1076,0,0,162,1817,1,5240,5011,4527,0,5,1,11,771,317,254,399,42,262,295,0,971,6602,417,14,0,0,109,0,2,820,104,5,783,72,574,2,1717,1905,38,69,12,138,2826,10,26,1,49,96,1625,29,28,13,133,4,30,24,96,2,562,670,482,557,1362,28,32,391,8729,679,6,467,111,449
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
